nom,viet,explanation,en_explanation
漢明子直𠓨奏,hán minh tử trực vào tâu,"Cụm từ **""hán minh tử trực vào tâu""** là một cách nói trong văn học cổ, đặc biệt trong văn học Trung Quốc cổ đại, thường dùng trong bối cảnh chính trị, hành chính. Ý nghĩa của cụm từ này là:

- **Hán minh**: Là cách nói về người có địa vị, quyền lực, thường là quan lại, viên chức.
- **Tử trực**: Là việc tiến lên, tiến vào, hoặc lên tiếng.
- **Vào tâu**: Là việc dâng lên, báo cáo, trình bày điều gì đó lên người có quyền.

Do đó, **""hán minh tử trực vào tâu""** có nghĩa là: **Người có địa vị, quyền lực tiến lên trình báo, dâng lên điều gì đó lên người có quyền**.

Tóm lại:  
**""Hán minh tử trực vào tâu""** là cách nói về việc một người có quyền lực, địa vị tiến lên trình báo, báo cáo điều gì đó lên người có quyền cao hơn.","The phrase **""hán minh tử trực vào tâu""** is a term used in classical literature, particularly in ancient Chinese literature, and is often used in political or administrative contexts. The meaning of this phrase is as follows:

- **Hán minh**: Refers to someone of high status or power, typically an official or government official.
- **Tử trực**: Means to move forward, approach, or speak up.
- **Vào tâu**: Means to report, present, or submit something to someone in authority.

Therefore, **""hán minh tử trực vào tâu""** means: **A person of high status or power approaches someone in authority to report or present something**.

In summary:  
**""Hán minh tử trực vào tâu""** refers to the act of a person with power or status approaching someone in authority to report or present something."
󱳁户趙麻爫𤤰,đuổi họ triệu mà làm vua,"Cụm từ **""đuổi họ triệu mà làm vua""** có ý nghĩa là:  

> **Đánh mất đi những người thân yêu (đầu tiên, người thân, người bạn, người đáng tin cậy), rồi mới dám làm vua (lên ngôi, nắm quyền lực).**

Đây là một câu nói mang tính chất **nhấn mạnh sự quan trọng của lòng trung thành, sự ủng hộ từ những người thân thiết trước khi có thể nắm quyền lực**.  

Nó cũng có thể được hiểu như một lời cảnh báo: **nếu không có sự ủng hộ từ những người quan trọng trong cuộc sống, thì không thể thực hiện được những mục tiêu lớn lao như việc làm vua.**

Tóm lại:  
**""Đuổi họ triệu mà làm vua""** có nghĩa là: **Không có sự ủng hộ của những người thân yêu, thì không thể làm vua.**","The phrase **""đuổi họ triệu mà làm vua""** means:

> **You must lose your loved ones (first, family, friends, trustworthy people), only then are you daring to become a king (to take the throne, to hold power).**

This is a saying that emphasizes the **importance of loyalty and support from close people before one can attain power**.

It can also be understood as a warning: **Without the support of important people in life, it is impossible to achieve great goals, such as becoming a king.**

In summary:  
**""Đuổi họ triệu mà làm vua""** means: **Without the support of loved ones, one cannot become a king.**"
𡥵中𢲬𢬣打計,con trong thò tay đánh ké,"Câu **""con trong thò tay đánh ké""** là một câu tục ngữ hoặc câu nói dân gian, mang ý nghĩa **chỉ những người hoặc việc làm không có gốc gác, không rõ nguồn cội, không tốt**. 

### Giải thích ngắn gọn:
- **""Con trong thò tay""**: Có nghĩa là con cái sinh ra từ người không rõ nguồn gốc, không có cha mẹ rõ ràng, hoặc là người không có tư cách, không được sinh ra trong gia đình có truyền thống, đạo đức.
- **""Đánh ké""**: Là cách nói không chính đáng, không có lý do, hoặc là hành vi xấu, không tốt.

### Ý nghĩa tổng thể:
Câu này thường dùng để chỉ **những người không có gốc gác, không có tư cách, hoặc những việc làm không có lý do, không có nền tảng**, thường mang tính chê bai, khinh miệt.

Ví dụ:  
- ""Cậu không nên làm chuyện **con trong thò tay đánh ké**, đó là hành vi không đúng mực.""  
- ""Người **con trong thò tay đánh ké** không được coi trọng trong gia đình.""

Nếu bạn cần giải thích chi tiết hơn hoặc có ví dụ cụ thể, mình có thể giúp thêm!","The phrase **""con trong thò tay đánh ké""** is an idiom or folk saying that conveys the meaning of **people or actions that lack origin, background, or legitimacy, and are considered improper or undesirable**.

### Brief Explanation:
- **""Con trong thò tay""**: This means a child born from someone without a clear origin, without a known parent, or someone who does not come from a family with tradition or morality.
- **""Đánh ké""**: This refers to an unjustified or inappropriate action, or a bad behavior without a reason.

### Overall Meaning:
The phrase is often used to describe **people without a proper background or those engaged in improper or baseless actions**, usually with a tone of disapproval or contempt.

### Examples:
- ""You shouldn't do something **con trong thò tay đánh ké**; that is inappropriate behavior.""
- ""A person **con trong thò tay đánh ké** is not respected in the family.""

If you need a more detailed explanation or specific examples, feel free to ask!"
及羣臣降服拜謝於承天殿,cập quần thần giáng phục bái tạ ư Thừa Thiên điện,"Cụm từ **""Cập quần thần giáng phục bái tạ ư Thừa Thiên điện""** là một câu văn cổ, mang tính chất tôn giáo và chính trị, thường xuất hiện trong các văn bản tôn giáo, đặc biệt là trong các văn bản liên quan đến **Đạo Mẫu** hoặc **Đạo Mẫu Thừa Thiên**.

### Ý nghĩa ngắn gọn:

- **Cập quần thần**: Dùng để chỉ việc **tôn kính, tôn phục** các vị thần trong đền miếu.
- **Giáng phục**: Có nghĩa là **giáng xuống, phái xuống**, tức là các vị thần được phái xuống để **giúp đỡ, bảo vệ** con người.
- **Bái tạ**: Là hành động **lạy, dâng lên** để **tạ ơn** các vị thần.
- **Thừa Thiên điện**: Là tên gọi của một **đền miếu** thuộc địa phương **Thừa Thiên** (nay là **Quảng Đông**, Việt Nam), nơi thờ các vị thần bảo hộ.

### Tổng hợp ý nghĩa:

Câu này thể hiện **tinh thần tôn kính, dâng lên và tạ ơn các vị thần** trong đền miếu Thừa Thiên, đồng thời thể hiện **sự tín nhiệm, phụ thuộc vào sự bảo vệ của các vị thần**.

Nếu bạn cần giải thích chi tiết hơn hoặc trong bối cảnh cụ thể (ví dụ: trong một bài thơ, một văn bản lịch sử...), hãy cho mình biết nhé!","The phrase **""Cập quần thần giáng phục bái tạ ư Thừa Thiên điện""** is an ancient Vietnamese expression that carries both religious and political connotations. It is commonly found in religious texts, especially those related to **Dao Ma** (Dao Ma Thua Thien) – a local folk religion in the area of **Thua Thien** (now part of **Quang Dong**, Vietnam).

### Short Meaning:

- **Cập quần thần**: Refers to the act of showing respect and reverence to the deities in temples.
- **Giáng phục**: Means ""to descend"" or ""to send down,"" indicating that the deities are sent down to help and protect humans.
- **Bái tạ**: Refers to the act of bowing or offering thanks to the deities.
- **Thừa Thiên điện**: Is the name of a temple located in the **Thua Thien** region (now in **Quang Dong, Vietnam**), where deities are worshipped for protection.

### Comprehensive Meaning:

This phrase expresses the spirit of **respect, worship, and gratitude toward the deities in the Thua Thien temple**, as well as the **trust and reliance on the protection provided by the deities**.

If you need a more detailed explanation or one in a specific context (such as in a poem, historical text, etc.), feel free to let me know!"
弹𬌥𫯍牧觥孤邊岧,đàn trâu đứa mục quanh co bên đèo,"Câu **""đàn trâu đứa mục quanh co bên đèo""** là một câu thơ dân gian, có ý nghĩa biểu tượng và mang tính chất thơ mộng, giàu hình ảnh. Dưới đây là giải thích ngắn gọn về ý nghĩa của câu này:

- **""Đàn trâu""**: Là hình ảnh biểu tượng cho sự bình yên, cuộc sống giản dị, gắn bó với thiên nhiên, thường gắn với hình ảnh người dân lao động, sống gần gũi với đất trời.
- **""Đứa mục""**: Có thể hiểu là người dân, người trong làng, người sống quanh đó.
- **""Quanh co bên đèo""**: Miêu tả cảnh vật quanh đèo, đường đèo uốn lượn, có thể là nơi giao thông, nơi người ta qua lại, hoặc là nơi có sự giao thoa giữa con người và thiên nhiên.

**Ý nghĩa tổng thể**: Câu thơ miêu tả cảnh một đàn trâu và người dân sống quanh co bên đèo, thể hiện sự hòa hợp giữa con người và thiên nhiên, sự bình yên, gắn bó với đất trời, và sự phát triển của cuộc sống trong môi trường thiên nhiên hùng vĩ.

Nó cũng gợi lên một không khí thơ mộng, mang tính chất dân gian, giàu hình ảnh và biểu tượng.","The phrase **""đàn trâu đứa mục quanh co bên đèo""** is a folk poem with symbolic meaning and a poetic, picturesque quality. Below is a brief explanation of its meaning:

- **""Đàn trâu""**: This image symbolizes peace, a simple life, and a close connection with nature, often associated with the lives of laborers who live in harmony with the land and sky.
- **""Đứa mục""**: This can be understood as the people of the village, the locals, or those living in the area.
- **""Quanh co bên đèo""**: This describes the scenery around a mountain pass, with winding roads that may be places of transportation, where people pass through, or where there is an interaction between humans and nature.

**Overall Meaning**: The poem describes a scene of a herd of cows and the local people living near a mountain pass, illustrating the harmony between humans and nature, a peaceful and close connection to the land, and the development of life in a majestic natural environment.

It also evokes a poetic, folk-like atmosphere, rich in imagery and symbolism."
云仙𦖑呐𠳨㕫𫯳娘󱙻意𡢼娘󱙻支,vân tiên nghe nói hỏi phăng chồng nàng tên ấy vợ nàng tên chi,"Câu **""Vân tiên nghe nói hỏi phăng chồng nàng tên ấy vợ nàng tên chi""** là một câu nói dân gian, mang tính chất hài hước, đùa vui, thường được dùng trong các cuộc trò chuyện thân mật hoặc trong văn học dân gian Việt Nam.

### Ý nghĩa ngắn gọn:
Câu này có nghĩa là: **""Vân tiên (người đàn ông) nghe nói (một người phụ nữ) hỏi phăng (tức là hỏi tên) chồng nàng (người vợ của nàng) tên ấy (tức là tên của nàng) vợ nàng tên chi?""**

Tóm lại: **Một người đàn ông nghe một người phụ nữ hỏi tên chồng mình, mà người đó lại là vợ của người phụ nữ đó, nên câu hỏi trở nên hài hước, mâu thuẫn.**

### Giải thích đơn giản:
Câu này là một cách đùa, nói vui về việc **một người đàn ông nghe một người phụ nữ hỏi tên chồng mình, nhưng người chồng đó lại là vợ của người phụ nữ đó**, tức là **chồng và vợ cùng tên** – một tình huống hài hước, không thể xảy ra trong thực tế, nên được dùng để đùa vui.

Nếu bạn muốn hiểu sâu hơn về nguồn gốc câu này, mình có thể giải thích thêm nếu cần!","The Vietnamese phrase **""Vân tiên nghe nói hỏi phăng chồng nàng tên ấy vợ nàng tên chi""** is a traditional folk saying that is used for humor and to amuse people, often in close conversations or in Vietnamese folk literature.

### Short Meaning:
This phrase means: **""Vân tiên (a man) hears a woman asking (someone) for the name of her husband, but that person is actually her wife, so the question becomes funny and contradictory.""**

### Simple Explanation:
The phrase is a humorous way of saying that **a man hears a woman asking for the name of her husband, but that husband is actually her wife**, meaning **the husband and wife have the same name** – a situation that is impossible in reality, making it a funny and playful statement. 

If you'd like to know more about the origin of this phrase, I can explain it in more detail!"
明人㨿两岸夾攻,minh nhân cứ lưỡng ngạn hiệp công,"Câu ""minh nhân cứ lưỡng ngạn hiệp công"" có thể được hiểu như sau:

- **Minh nhân**: Người có trí tuệ, sáng suốt, có hiểu biết sâu sắc.
- **Cứ lưỡng ngạn**: Có nghĩa là giữ im lặng, không nói ra, hoặc không biểu đạt rõ ràng.
- **Hiệp công**: Hợp tác, cùng nhau làm việc, hỗ trợ lẫn nhau.

**Ý nghĩa ngắn gọn**:  
Người có trí tuệ (minh nhân) thường giữ im lặng (lưỡng ngạn) để hợp tác, phối hợp với người khác (hiệp công), không nói nhiều mà hành động thông minh, khéo léo để đạt được mục tiêu chung.

Có thể hiểu là: **Người thông minh thường im lặng để phối hợp, hợp tác hiệu quả.**","The phrase ""minh nhân cứ lưỡng ngạn hiệp công"" can be understood as follows:

- **Minh nhân**: A person with wisdom, intelligence, and deep knowledge.
- **Cứ lưỡng ngạn**: Means to remain silent, not speak out, or not express clearly.
- **Hiệp công**: To cooperate, work together, and support each other.

**Short meaning**:  
A wise person often remains silent to cooperate and work effectively with others, acting smartly and skillfully without speaking much to achieve a common goal.

It can be understood as: **A smart person often remains silent to cooperate and work effectively.**"
楊𠵌仕鄭𢚸𣗾,dương nghe sẽ chạnh lòng son,"Câu **""Dương nghe sẽ chạnh lòng son""** có ý nghĩa như sau:

- **""Dương nghe""** là một cách nói rút gọn của **""Dương nghe nghe""**, tức là **nghe thấy, nghe được**.
- **""Sẽ chạnh lòng""** nghĩa là **sẽ cảm động, xúc động, đau lòng**.
- **""Son""** ở đây là **""son""** (cái son) – một từ cổ, thường dùng để chỉ **một điều gì đó đặc biệt, sâu sắc, có giá trị**.

→ **Ý nghĩa tổng thể**: Khi nghe thấy (dương nghe), người ta sẽ cảm động, xúc động, đau lòng vì điều đó rất sâu sắc, có ý nghĩa đặc biệt.

Có thể hiểu như một câu thơ hoặc câu nói cổ, thể hiện sự cảm động khi nghe một điều gì đó sâu sắc, trung thực, chân thành.","The phrase **""Dương nghe sẽ chạnh lòng son""** means the following:

- **""Dương nghe""** is a shortened form of **""Dương nghe nghe""**, which means **to hear, to hear something**.
- **""Sẽ chạnh lòng""** means **to be moved, touched, or sad**.
- **""Son""** here refers to **""son""** (the substance used for drawing on lips), a word of old usage that often means **something special, profound, or of great value**.

→ **Overall meaning**: When one hears something, they will be moved, touched, or sad because that thing is profound and has special significance.

This phrase can be understood as a poetic or old saying, expressing the feeling of being deeply moved by something sincere, truthful, and meaningful."
迻𠀧󰘩茦底防𫉚身,ðưa ba phong thuốc để phòng hộ than,"Câu ""ðưa ba phong thuốc để phòng hộ than"" có thể hiểu theo cách nói của người dân tộc thiểu số, đặc biệt là người Thái, người Mường, người H’Mông... trong vùng núi phía Bắc Việt Nam. Ý nghĩa ngắn gọn của câu là:

**""Mời ba người thuốc (thầy thuốc, bác sĩ, người có kiến thức y học) để phòng bệnh, bảo vệ sức khỏe.""**

Hoặc theo nghĩa đen hơn, có thể hiểu là:  
**""Mời ba người có chuyên môn về thuốc để phòng bệnh, bảo vệ người khác khỏi bệnh tật.""**

Tuy nhiên, trong văn hóa dân tộc, câu này thường mang ý nghĩa biểu tượng, thể hiện sự quan trọng của việc có người có chuyên môn, có kinh nghiệm trong việc chữa bệnh, phòng bệnh.","The sentence ""ðưa ba phong thuốc để phòng hộ than"" can be understood in the way people from ethnic minority groups, especially the Thai, Mường, H'mong, and others in northern Vietnam, speak. The concise meaning of the sentence is:

**""Invite three people who are knowledgeable in medicine (doctors, physicians, medical experts) to prevent illness and protect health.""**

Or, in a more literal sense, it can be understood as:  
**""Invite three people with expertise in medicine to prevent illness and protect others from disease.""**

However, in ethnic culture, this sentence usually carries a symbolic meaning, highlighting the importance of having people with professional knowledge and experience in treating and preventing illness."
及聞捷奏云以󰱐蓬莪馘乃大喜召群,cập văn tiệp tấu vân dĩ hoạch bồng nga quắc nãi đại hỉ triệu quần,"Câu này có thể là một câu thơ hoặc câu văn cổ, nhưng không phải là câu tiêu chuẩn trong tiếng Việt hiện đại. Tuy nhiên, nếu bạn muốn hiểu ý nghĩa của từng từ trong câu:

**Cập văn tiệp tấu vân dĩ hoạch bồng nga quắc nãi đại hỉ triệu quần**

1. **Cập văn** – Ghi chép, ghi lại.
2. **Tiệp tấu** – Nhạc, âm nhạc (tấu = chơi nhạc).
3. **Vân dĩ** – Mây bay (vân = mây, dĩ = bay).
4. **Hoạch bồng** – Hoạch định, định hướng (bồng = bồng bềnh, không rõ ràng).
5. **Ngá quắc** – Ngáy, khóc (ngá = khóc, quắc = khóc).
6. **Nãi đại hỉ** – Khiến người khóc lớn (nãi = khiến, đại hỉ = khóc lớn).
7. **Triệu quần** – Từng người một (triệu = từng, quần = người).

**Ý nghĩa tổng thể**:  
Câu này có thể diễn tả một tình huống trong đó âm nhạc (tiệp tấu) khiến mây bay (vân dĩ), và sự kiện đó khiến người ta khóc (ngá quắc, nãi đại hỉ), như một sự kiện khiến mọi người đều khóc (triệu quần).

Tuy nhiên, nếu đây là một câu thơ hoặc câu văn cổ, có thể cần thêm bối cảnh để hiểu chính xác hơn. Bạn có thể cung cấp thêm thông tin nếu muốn phân tích chi tiết hơn.","The following Vietnamese text may be a poetic or classical prose sentence, but it is not a standard phrase in modern Vietnamese. However, if you want to understand the meaning of each word in the sentence:

**Cập văn tiệp tấu vân dĩ hoạch bồng nga quắc nãi đại hỉ triệu quần**

1. **Cập văn** – To record, to write down.  
2. **Tiệp tấu** – Music, music performance (tấu = to play music).  
3. **Vân dĩ** – Clouds flying (vân = cloud, dĩ = flying).  
4. **Hoạch bồng** – To plan, to direct (bồng = floating, vague, unclear).  
5. **Ngá quắc** – To sob, to cry (ngá = to cry, quắc = to cry).  
6. **Nãi đại hỉ** – To make someone cry loudly (nãi = to cause, đại hỉ = to cry loudly).  
7. **Triệu quần** – One by one (triệu = one by one, quần = people).

**Overall Meaning**:  
This sentence may describe a situation in which music (tiệp tấu) causes clouds to fly (vân dĩ), and this event causes people to cry (ngá quắc, nãi đại hỉ), as if it makes everyone cry (triệu quần).

However, if this is a classical poem or prose, more context would be needed for a more accurate interpretation. If you would like a more detailed analysis, feel free to provide additional information."
陳平㐌𠇍卢欧,trần bình đã mấy lo âu,"Câu ""trần bình đã mấy lo âu"" có nghĩa là: **""Người ta đã trải qua bao nhiêu lo âu?""** hoặc **""Có bao nhiêu lo âu đã xảy ra?""**.

- **Trần bình** là từ dùng để chỉ một người bình thường, không đặc biệt.
- **Đã mấy lo âu** là cách nói rút gọn của ""đã có bao nhiêu lo âu"".

Câu này thường được dùng để hỏi về số lượng lo âu mà một người đã trải qua trong cuộc sống, thể hiện sự quan tâm đến nỗi lo âu của họ.","The phrase ""trần bình đã mấy lo âu"" means: **""How many worries has a normal person gone through?""** or **""How many worries have occurred?""**.

- **Trần bình** is a term used to refer to a normal person, not special or exceptional.
- **Đã mấy lo âu** is a shortened way of saying ""how many worries have there been"".

This sentence is often used to ask about the number of worries someone has experienced in life, showing concern for their worries."
󰘇軒吏𢴑󰜋𦀊引𠓨,Cửa hiên lại dắt một dây dẫn vào,"Câu ""Cửa hiên lại dắt một dây dẫn vào"" có ý nghĩa là:  
**Cửa hiên (cửa ra vào của nhà) đang kéo một dây dẫn vào trong nhà.**

Đây có thể là một hình ảnh miêu tả cảnh cửa mở ra, dây điện hoặc dây cáp được kéo vào bên trong. Có thể dùng trong ngữ cảnh mô tả một cảnh trong truyện, phim, hoặc hình ảnh minh họa.","The sentence ""Cửa hiên lại dắt một dây dẫn vào"" means:

**The front door is pulling a wire inside.**

This could be an image describing a scene where the door opens, and an electrical wire or cable is being pulled inside. It can be used in the context of describing a scene in a story, movie, or illustration."
𠓀,trước,"""Tựa"" là từ tiếng Việt có nghĩa là **đầu bài**, **phần mở đầu** của một bài viết, đoạn văn, hoặc một tác phẩm. Nó thường chứa những câu mở đầu, giới thiệu chủ đề, mục đích, hoặc bối cảnh của bài viết.

Ví dụ:  
- Trong một bài luận, ""trước hết"" là một từ dùng để mở đầu phần trình bày.  
- Trong một đoạn văn, ""trước khi nói đến..."" là cách giới thiệu nội dung sẽ được trình bày sau.

Tóm lại, ""trước"" ở đây có nghĩa là **phần mở đầu**, **đầu bài**.","""The word 'tựa' in Vietnamese means the **opening part**, the **introduction** of an article, paragraph, or work. It usually contains opening sentences that introduce the topic, purpose, or context of the writing.""

Examples:  
- In an essay, ""trước hết"" is a word used to start the presentation.  
- In a paragraph, ""trước khi nói đến..."" is a way to introduce the content that will be discussed later.

In summary, ""trước"" here means the **opening part**, the **introduction**."
盃󰑼盃強矫󰑼,vui là vui gượng kẻo là,"Câu **""vui là vui gượng kẻo là vui thật""** có ý nghĩa là:

> **""Điều quan trọng nhất là được vui thật lòng, chứ không phải vui giả tạo, vui giả hình.""**

Nó nhấn mạnh rằng:  
- **Vui gượng** (vui giả, vui bằng cách che giấu cảm xúc) không bằng **vui thật** (vui từ trong tim, từ sự hiểu biết, sự hài lòng thực sự).  
- Đừng cố gắng vui khi không thực sự vui, vì điều đó chỉ làm mất đi ý nghĩa của niềm vui.

Tóm lại: **Vui thật mới đáng giá, vui giả chỉ là giả tạo.**","The phrase **""vui là vui gượng kẻo là vui thật""** means:

> **""What is most important is to be genuinely happy, not fake happiness or superficial joy.""**

It emphasizes that:

- **Fake happiness** (happiness that is forced or hidden) is not as valuable as **true happiness** (happiness that comes from the heart, from understanding, and from real satisfaction).  
- Don't try to be happy when you are not actually happy, because that only loses the meaning of joy.

In conclusion: **True happiness is valuable, while fake happiness is just pretense.**"
