nom,viet,explanation,en_explanation
乃命受表覽之辭意懇切召帝入曰朕有别子亦可嗣位,Nãi mệnh thụ biểu lãm chi từ ý khẩn thiết triệu Đế nhập viết Trẫm hữu biệt tử diệc khả tự vị,"Câu này là một đoạn văn cổ, có thể xuất phát từ văn học Trung Hoa cổ điển, đặc biệt là từ thời Hán hoặc Tam Quốc. Dưới đây là giải thích ngắn gọn ý nghĩa của từng từ và toàn câu:

### Câu:  
**Nãi mệnh thụ biểu lãm chi từ ý khẩn thiết triệu Đế nhập viết Trẫm hữu biệt tử diệc khả tự vị**

### Giải thích từng từ:

- **Nãi mệnh thụ biểu**: ""Tôi nói rõ mệnh lệnh"" – tức là trình bày, báo cáo.
- **lãm chi từ**: ""một số từ"" – tức là những lời nói, lời trình bày.
- **ý khẩn thiết**: ""ý định khẩn thiết"" – ý định cấp bách, quan trọng.
- **triệu Đế nhập viết**: ""kêu gọi Đế vào viết"" – tức là kêu gọi vua vào để viết (hoặc quyết định).
- **Trẫm hữu biệt tử diệc**: ""Tôi có biệt tử diệc"" – ""Tôi có sự phân biệt, khác biệt"" (có thể hiểu là tôi có sự phân biệt rõ ràng, hoặc tôi có điều gì đó khác biệt).
- **khả tự vị**: ""có thể tự vị"" – có thể tự đặt vị trí, tự quyết định.

### Ý nghĩa toàn câu:
Câu này có thể được hiểu là:  
**""Tôi trình bày rõ mệnh lệnh, những lời nói quan trọng, kêu gọi Đế vào để viết. Tôi có sự phân biệt rõ ràng, có thể tự quyết định.""**

### Giải thích tổng thể:
Câu này thể hiện sự tự chủ, quyết định của người nói trước mặt vua, thể hiện tinh thần tự lập, không cần phải phụ thuộc hoàn toàn vào vua. Người nói đang trình bày lý do, ý định của mình trước vua, và khẳng định rằng mình có thể tự quyết định, tự đặt vị trí của mình.

Nếu bạn có thêm bối cảnh cụ thể (ví dụ: từ tác phẩm nào), mình có thể giải thích chi tiết hơn.","The following Vietnamese text is an ancient passage, possibly originating from classical Chinese literature, particularly from the Han or Three Kingdoms periods. Below is a brief explanation of the meaning of each word and the entire sentence:

### Sentence:  
**Nãi mệnh thụ biểu lãm chi từ ý khẩn thiết triệu Đế nhập viết Trẫm hữu biệt tử diệc khả tự vị**

### Explanation of each word:

- **Nãi mệnh thụ biểu**: ""I clearly state the command"" – meaning to present or report.
- **lãm chi từ**: ""some words"" – meaning some statements or expressions.
- **ý khẩn thiết**: ""urgent intention"" – meaning an urgent or important intention.
- **triệu Đế nhập viết**: ""call the Emperor to write"" – meaning to invite the Emperor to write (or make a decision).
- **Trẫm hữu biệt tử diệc**: ""I have distinct differences"" – meaning I have clear distinctions or something different.
- **khả tự vị**: ""can self-position"" – meaning can decide for oneself.

### Meaning of the entire sentence:
This sentence can be understood as:  
**""I clearly state the command, the important words, and invite the Emperor to write. I have clear distinctions and can decide for myself.""**

### Overall Explanation:
This sentence reflects the autonomy and decision-making power of the speaker before the Emperor, showing a spirit of self-reliance and not depending entirely on the Emperor. The speaker is presenting their reasons and intentions to the Emperor and asserting that they can make their own decisions and determine their own position. 

If you have more specific context (for example, from a particular work), I can provide a more detailed explanation."
時國勢衰弱朝無善政饑饉荐臻人民困窮尚乘之擅作威福人莫敢言,thời quốc thế suy nhược triều vô thiện chính cơ cận tiến trăn nhân dân khốn cùng thượng thừa chi thiện tác uy phúc nhân mạc cảm ngôn,"Đoạn văn bạn đưa ra là một câu văn bằng chữ Hán cổ, mang tính triết lý và sâu sắc. Dưới đây là giải thích ngắn gọn ý nghĩa của từng từ và toàn bộ câu:

### Giải thích từng từ:

- **Thời quốc thế suy nhược**: Thời đại đất nước suy yếu, yếu thế.
- **Triều vô thiện**: Chính quyền không tốt, chính trị bất công.
- **Chính cơ cận tiến**: Chính sách gần như không tiến bộ, không cải cách.
- **Trăn nhân dân khốn cùng**: Nhân dân trong cảnh khốn cùng, khốn khổ.
- **Thượng thừa chi thiện tác uy phúc nhân mạc cảm ngôn**: Nên có những người có đức, có năng lực (thượng thừa) thực hiện những việc tốt, mang lại phúc lợi cho dân, nhưng người ta không cảm nhận được (mạc cảm ngôn).

### Ý nghĩa toàn bộ:

Câu nói thể hiện sự phẫn nộ trước tình trạng đất nước suy yếu, chính quyền bất công, chính sách trì trệ, khiến nhân dân sống trong cảnh khốn cùng. Tuy nhiên, những người có năng lực, có đạo đức lại không được trọng dụng, không được cảm nhận sự công bằng và phúc lợi từ những hành động tốt của họ.

### Tóm lại:

Câu nói phản ánh sự bất công trong chính trị, sự suy tàn của đất nước, và nỗi đau của nhân dân, đồng thời phê phán sự thiếu trân trọng những người có tâm có đức.","The passage you provided is an ancient Chinese sentence with philosophical and profound meaning. Below is a concise explanation of the meaning of each word and the entire sentence:

### Explanation of Each Word:

- **Thời quốc thế suy nhược**: The era when the country is weak and in decline.
- **Triều vô thiện**: A government that is unjust or corrupt.
- **Chính cơ cận tiến**: Policies that are almost stagnant, not progressive or reformative.
- **Trăn nhân dân khốn cùng**: The people are in dire straits and suffering.
- **Thượng thừa chi thiện tác uy phúc nhân mạc cảm ngôn**: Those with virtue and ability should do good deeds that bring benefits to the people, but people do not perceive or feel this fairness.

### Meaning of the Whole Sentence:

The sentence expresses anger towards the country's weakness, corrupt government, and stagnant policies that leave the people in hardship. However, those with virtue and ability are not recognized or appreciated, and their good deeds do not bring about the expected sense of justice or benefit to the people.

### In Summary:

The passage reflects the injustice in politics, the decline of the country, the suffering of the people, and criticizes the lack of appreciation for those who have virtue and ability."
𠯇使𪀄撑停祝磊,rỉ sứ chim xanh đừng chóc lói,"Câu **""Rỉ sứ chim xanh đừng chóc lói""** là một câu tục ngữ hoặc câu nói dân gian, mang ý nghĩa biểu tượng và mang tính khuyên nhủ, phê phán. Ý nghĩa ngắn gọn của câu này là:

> **Không nên tỏ ra tự mãn, tự phụ, hay khoe khoang mình tốt hơn người khác.**

- **""Rỉ sứ chim xanh""**: Là hình ảnh so sánh, chỉ những người tự phụ, khoe khoang, tự mãn, thường có vẻ ngoài đẹp đẽ nhưng bên trong không tốt.
- **""Đừng chóc lói""**: Là lời khuyên không nên khoe khoang, tỏ ra mình tốt hơn người khác, vì điều đó sẽ gây mất lòng người khác và không có lợi.

Tóm lại, câu nói khuyên người ta nên khiêm tốn, không khoe khoang, tránh tự mãn.","The phrase **""Rỉ sứ chim xanh đừng chóc lói""** is a proverb or folk saying that carries symbolic meaning and serves as a cautionary or admonishing statement. Its concise meaning is:

> **One should not be arrogant, self-important, or boast about being better than others.**

- **""Rỉ sứ chim xanh""**: This is a metaphorical image referring to people who are self-important, boastful, and arrogant. They may appear beautiful or impressive on the outside, but their inner character is not good.
- **""Đừng chóc lói""**: This means not to boast or show off, as doing so can hurt others' feelings and is not beneficial.

In summary, the saying advises people to be humble, not to boast, and to avoid arrogance."
𢧚署𢧚柴為固𭓇奴咹奴默摆咍爫,nên thợ nên thầy vì có học no ăn no mặc bởi hay làm,"Câu nói **""nên thợ nên thầy vì có học no ăn no mặc bởi hay làm""** muốn nói rằng:

- **Người có học thức, có kiến thức** (thầy, giáo viên) và **có kỹ năng, có năng lực** (thợ, lao động) đều cần được trân trọng và có cơ hội phát triển.
- **Có học** (tài năng, kiến thức) và **bởi hay làm** (có khả năng thực hiện, có kỹ năng) sẽ giúp người đó **no ăn no mặc** (được sống tốt, có thu nhập ổn định, đủ ăn, đủ mặc).
- Ý nghĩa chính: **Học tập và thực hành đều quan trọng**, người có học thức và kỹ năng đều đáng尊敬 và có cơ hội thành công.

Tóm lại: **Học và làm đều quan trọng, người có học và có năng lực sẽ được sống tốt.**","The phrase **""nên thợ nên thầy vì có học no ăn no mặc bởi hay làm""** means:

- **People with knowledge and skills** (teachers, educators, or workers) should be respected and given opportunities to develop.
- **Having knowledge** (talent, education) and **being able to act on it** (having the ability to implement, having skills) will help a person **live well** (have a stable income, be well-fed and well-clothed).
- The main message is that **both studying and practicing are important**. People who have knowledge and skills are respected and have the opportunity to succeed.

In summary: **Both studying and working are important. People who have knowledge and ability can live a good life.**"
調󰠲𠖤卜埃爫,điều đâu bay buộc ai làm,"Câu **""Điều đâu bay buộc ai làm""** có ý nghĩa là:  

**Không có lý do nào để buộc ai đó phải làm điều gì.**  

Cụm từ này thường được dùng để thể hiện sự **tự do lựa chọn**, **không bị ép buộc** hay **không cần phải làm theo ý người khác**. Nó mang tính **tự do, phản kháng** trước những áp lực, yêu cầu không cần thiết.

Ví dụ:  
- ""Không ai có quyền buộc em phải làm điều đó.""  
- ""Điều đâu bay buộc ai làm – mình sẽ tự quyết định.""","The phrase **""Điều đâu bay buộc ai làm""** means:

**There is no reason to force someone to do something.**

This expression is often used to convey **freedom of choice**, **not being forced**, or **not needing to follow others' wishes**. It carries a sense of **freedom and resistance** against unnecessary pressure or demands.

Examples:
- ""No one has the right to force me to do that.""
- ""Condition is not the reason to do something – I will make my own decision."""
若貧乏之人前已挚家占射開墾别府縣荒閉田土例得傳子若孫耕種者,nhược bần phạp chi nhân tiền dĩ chí gia chiếm xạ khai khẩn biệt phủ huyện hoang bế điền thổ lệ đắc truyền tử nhược tôn canh chủng giả,"Câu này là một đoạn văn cổ, có thể thuộc thể loại thơ ca hoặc văn nghị luận, dùng để thể hiện ý nghĩa sâu sắc về sự phát triển, khai thác đất đai và sự phát huy tiềm năng của con người. Dưới đây là giải thích ngắn gọn từng từ và ý nghĩa chung của câu:

---

### **Giải thích từng từ:**

- **Nhược bần phạp chi nhân tiền dĩ chí gia chiếm xạ khai khẩn biệt phủ huyện hoang bế điền thổ lệ đắc truyền tử nhược tôn canh chủng giả**

**Giải thích từng từ:**

- **Nhược**: Nếu, nếu không.
- **Bần phạp**: Thấp kém, nghèo khó.
- **Chi nhân**: Người, con người.
- **Tiền dĩ chí**: Trước đây, từ xưa đến nay.
- **Gia chiếm xạ**: Gia đình chiếm đoạt, khai phá.
- **Khai khẩn**: Khai phá, khai mỏ, khai thác.
- **Biệt phủ huyện**: Phân biệt các huyện, vùng.
- **Hoang bế điền thổ**: Đất đai hoang vu, chưa được canh tác.
- **Lệ đắc truyền tử**: Tính chất, bản chất, truyền lại từ xưa.
- **Nhược tôn canh chủng giả**: Nếu tôn trọng, coi trọng việc canh tác, giống cây.

---

### **Ý nghĩa tổng thể:**

Câu này thể hiện ý nghĩa sâu sắc về việc **không nên coi nhẹ việc khai phá, canh tác đất đai**, dù ban đầu là đất hoang vu, nghèo khó. Con người cần có ý chí, tinh thần lao động để khai khẩn, phát triển đất đai, biến đất hoang thành đất màu mỡ, từ đó phát triển kinh tế, xã hội. Câu nhấn mạnh rằng **sự phát triển không đến từ sự bàng quan, mà từ sự nỗ lực, sự kiên trì, và sự tôn trọng với đất đai**.

---

### **Tóm tắt:**

Câu nói nhấn mạnh rằng **đất đai hoang vu có thể được khai phá và phát triển nếu con người có ý chí và tinh thần lao động**, từ đó tạo ra sự phát triển bền vững.","This sentence is an ancient passage, possibly belonging to the genre of poetry or expository writing, used to convey a profound meaning about development, land exploitation, and the potential of human beings. Below is a brief explanation of each word and the overall meaning of the sentence:

---

### **Explanation of Each Word:**

- **Nhược**: If, if not.
- **Bần phạp**: Poor, destitute.
- **Chi nhân**: People, humans.
- **Tiền dĩ chí**: From ancient times to the present.
- **Gia chiếm xạ**: Family takes over, exploits.
- **Khai khẩn**: Explores, mines, exploits.
- **Biệt phủ huyện**: Distinguish between counties, regions.
- **Hoang bế điền thổ**: Wasteland, uncultivated land.
- **Lệ đắc truyền tử**: Nature, essence, passed down from ancient times.
- **Nhược tôn canh chủng giả**: If we value cultivation and seed planting.

---

### **Overall Meaning:**

This sentence emphasizes the importance of **not undervaluing the act of exploiting and cultivating land**, even though it may initially be barren and poor. Humans need determination and a spirit of labor to explore and develop the land, transforming wasteland into fertile soil, thus promoting economic and social development. The sentence highlights that **development comes not from indifference, but from effort, persistence, and respect for the land**.

---

### **Summary:**

The statement emphasizes that **barren land can be developed and cultivated if humans have the will and spirit of labor**, leading to sustainable development."
𧊉浪碑鑿群𠸜,bướm rằng bia tạc còn tên,"Câu ""bướm rằng bia tạc còn tên"" là một câu tục ngữ hoặc câu nói dân gian, mang ý nghĩa biểu tượng và mang tính chất khuyên nhủ, phê phán.

**Ý nghĩa ngắn gọn:**

Câu này có nghĩa là: **""Một con bướm cũng có thể nói được cái tên của một块 bia (tạc)""**, tức là **một người nhỏ bé, không có quyền lực, cũng có thể nói được chuyện, nói được tên của người lớn, người có địa vị.**

**Giải thích chi tiết:**

- **Bướm** là loài vật nhỏ bé, không có quyền lực, không được coi trọng.
- **Bia tạc** là một vật có giá trị, thường gắn với người có địa vị, quyền lực.
- Câu nói hàm ý: **Dù là người nhỏ bé, cũng có thể nói được điều gì đó về người lớn, có thể phán xét, phê phán người có địa vị.**

**Ý nghĩa sâu hơn:**

Câu này thường được dùng để **phê phán những người nhỏ bé mà tự mãn, tự phụ, tự cho mình quyền nói chuyện với người có địa vị**, hoặc để **nhắc nhở những người có quyền lực không nên coi thường người nhỏ bé**.

Tóm lại:  
**""Bướm rằng bia tạc còn tên""** có nghĩa là: **Một người nhỏ bé cũng có thể nói được chuyện, nói được tên của người lớn.**","The phrase ""bướm rằng bia tạc còn tên"" is a proverb or a folk saying that carries symbolic meaning and is used to advise or criticize.

**Short Meaning:**

This phrase means: **""A butterfly can name a stone inscription (carved)""**, which implies that **a small, powerless person can speak about or comment on someone powerful or of high status.**

**Detailed Explanation:**

- **Bướm (butterfly)**: A small creature that is not powerful or respected.
- **Bia tạc (carved stone inscription)**: An object of value, often associated with people of status and power.
- The saying implies that **even a small person can speak about or criticize someone powerful**.

**Deeper Meaning:**

This phrase is often used to **criticize those who are small in stature but arrogant and proud, thinking they have the right to speak to those in power**, or to **remind those in power not to look down upon the small and powerless**.

In summary:  
**""Bướm rằng bia tạc còn tên""** means: **A small person can speak about or comment on someone powerful.**"
願蒙親近明師,nguyện mong thân cận minh sư,"Câu **""nguyện mong thân cận minh sư""** có ý nghĩa là:

> **Nguyện vọng mong muốn được gần gũi, học hỏi từ những người có trí tuệ, đạo đức và kiến thức sâu rộng (minh sư)**.

- **Nguyện mong**: mong muốn, ước muốn.
- **Thân cận**: gần gũi, tiếp xúc, hòa mình vào.
- **Minh sư**: người dạy dỗ, hướng dẫn, có trí tuệ sáng suốt, có đạo đức cao.

Câu này thể hiện sự tôn kính, ngưỡng mộ và mong muốn học hỏi, theo đuổi tri thức từ những người có uy tín, có đạo đức.","The phrase **""nguyện mong thân cận minh sư""** means:

> **The wish to be close to and learn from wise and morally upright teachers (minh sư)**.

- **Nguyện mong**: wish, aspiration.
- **Thân cận**: to be close to, to be in contact with, to be integrated with.
- **Minh sư**: a teacher who is wise, virtuous, and knowledgeable.

This sentence expresses respect, admiration, and the desire to learn and pursue knowledge from respected and morally sound individuals."
𥆾饒湥󰠻湥𨱽衮昂,nhìn nhau giọt ngắn giọt dài ngổn ngang,"Câu **""nhìn nhau giọt ngắn giọt dài ngổn ngang""** mang ý nghĩa biểu tượng, thể hiện sự **xúc động, cảm xúc phức tạp** khi hai người nhìn vào nhau. 

- **""Giọt ngắn giọt dài""** là hình ảnh so sánh, mô tả những giọt nước mắt (có thể là nước mắt buồn, nước mắt xúc động, hoặc nước mắt của tình yêu).  
- **""Ngổn ngang""** nghĩa là hỗn độn, bùng lên mạnh mẽ, thể hiện sự **đổ cảm xúc** mạnh mẽ, không kiểm soát được.

Tóm lại, câu này diễn tả **sự xúc động, cảm xúc mạnh mẽ** khi hai người nhìn vào nhau, có thể là trong tình yêu, trong nỗi nhớ, hoặc trong khoảnh khắc xúc động khác.","The phrase **""nhìn nhau giọt ngắn giọt dài ngổn ngang""** carries a symbolic meaning, representing the **touching, complex emotions** experienced when two people look at each other.

- **""Giọt ngắn giọt dài""** is a metaphor, describing tears (which can be tears of sadness, tears of emotion, or tears of love).
- **""Ngổn ngang""** means chaotic or intense, showing **overwhelming emotions** that are difficult to control.

In summary, this sentence conveys **intense, emotional moments** when two people look at each other, which can be in the context of love, longing, or other emotionally powerful situations."
幅幀埃窖撝,bức tranh ai khéo vời,"""**Bức tranh ai khéo vời**"" là một câu tục ngữ Việt Nam, có ý nghĩa là:

> **Người vẽ tranh (hoặc người làm việc gì đó) rất khéo léo, tinh tế, tài năng.**

Cụm từ này thường được dùng để khen ngợi sự **khéo tay, sáng tạo, nghệ thuật** của ai đó trong việc vẽ tranh hoặc làm việc thủ công, nghệ thuật.

Ví dụ:  
- ""Bức tranh ai khéo vời, màu sắc rực rỡ, hình ảnh sống động.""  
- ""Cô ấy là một nghệ sĩ khéo vời, từng vẽ tranh rất đẹp.""

Tóm lại: **""Bức tranh ai khéo vời""** = **người vẽ tranh rất khéo, tài năng**.","The Vietnamese phrase ""**Bức tranh ai khéo vời**"" is an idiom that means:

> **The person who draws (or does something) is very skilled, delicate, and talented.**

This phrase is often used to praise someone's **skill, creativity, and artistry** in drawing or in handicrafts or artistic work.

Examples:
- ""Bức tranh ai khéo vời, màu sắc rực rỡ, hình ảnh sống động.""  
  (The painting is beautifully drawn, with vibrant colors and lifelike images.)
- ""Cô ấy là một nghệ sĩ khéo vời, từng vẽ tranh rất đẹp.""  
  (She is a very talented artist, having created beautiful paintings.)

In summary: **""Bức tranh ai khéo vời""** = **the person who draws is very skilled and talented.**"
矩𦸰,củ sắn,"**Củ sắn** là một loại củ ngọt, được trồng từ cây sắn (Dioscorea spp.), thường được dùng để làm bánh, ngọt, hoặc nấu ăn. Ý nghĩa của từ ""củ sắn"" bao gồm:

- **Đồ ăn ngọt**: Củ sắn chứa nhiều đường, được dùng để làm bánh, kẹo, nước ngọt.
- **Nguyên liệu phổ biến**: Là một loại thực phẩm quan trọng trong đời sống của nhiều người, đặc biệt ở vùng nông thôn.
- **Từ ngữ đơn giản**: Là một từ ngữ thường gặp trong cuộc sống hàng ngày, dễ hiểu và gần gũi.

Tóm lại, **củ sắn** là một loại thực phẩm ngọt, được sử dụng rộng rãi trong nấu ăn và chế biến thực phẩm.","**Taro** is a sweet root vegetable grown from the taro plant (Dioscorea spp.), commonly used to make cakes, sweets, or cooked dishes. The meaning of the word ""taro"" includes:

- **Sweet food**: Taro contains a lot of sugar and is used to make cakes, candies, and sweet drinks.
- **Common ingredient**: It is an important food item in the lives of many people, especially in rural areas.
- **Simple vocabulary**: It is a common word in daily life, easy to understand and familiar.

In conclusion, **taro** is a sweet food that is widely used in cooking and food processing."
禮部捧黄榜捐于東華門外,lễ bộ bổng hoàng bảng quyên vu đông hoa môn ngoại,"Câu ""lễ bộ bổng hoàng bảng quyên vu đông hoa môn ngoại"" là một cụm từ mang tính chất văn học, lịch sử, thường xuất hiện trong văn chương cổ điển hoặc trong các văn bản có tính chất tôn giáo, chính trị. Dưới đây là giải thích ngắn gọn về ý nghĩa của từng thành phần:

- **Lễ bộ**: Là một trong những bộ trong bộ máy hành chính nhà nước phong kiến Việt Nam, chịu trách nhiệm quản lý các lễ nghi, nghi lễ, và các hoạt động liên quan đến tôn giáo, chính trị.

- **Bổng hoàng**: Có nghĩa là bổ nhiệm chức vụ cho người có tài năng, được phong vinh.

- **Bảng quyên**: Là việc lập danh sách, danh sách đề cử, hoặc danh sách các người được chọn để bổ nhiệm.

- **Vu đông hoa môn**: ""Đông hoa môn"" là một thuật ngữ chỉ các cửa chính, cửa ngõ của cung điện, biểu tượng cho sự trang trọng, tôn nghiêm. ""Vu"" có nghĩa là đi vào, tiến vào.

- **Ngoại**: Có nghĩa là bên ngoài, bên ngoài cung điện, ngoài phạm vi cung đình.

**Ý nghĩa tổng thể**:  
Câu này có thể hiểu là: **Việc bổ nhiệm người tài năng vào các vị trí quan trọng trong bộ máy hành chính, tiến vào cung điện, bên ngoài phạm vi cung đình**. Đây là một cách diễn đạt mang tính biểu tượng, thể hiện sự tôn vinh, bổ nhiệm và trang trọng trong các nghi lễ, lễ nghi của triều đình phong kiến.

Nếu bạn cần giải thích chi tiết hơn theo một văn bản cụ thể, mình có thể giúp thêm!","The phrase ""lễ bộ bổng hoàng bảng quyên vu đông hoa môn ngoại"" is a literary and historical expression that often appears in classical literature or in religious and political texts. Below is a brief explanation of the meaning of each component:

- **Lễ bộ**: One of the departments within the feudal administrative system of Vietnam, responsible for managing rituals, ceremonies, and activities related to religion and politics.

- **Bổng hoàng**: Means to appoint a person of talent and ability to a position of honor.

- **Bảng quyên**: Refers to the act of compiling a list of candidates or people who are selected for appointment.

- **Vu đông hoa môn**: ""Đông hoa môn"" is a term referring to the main gates or entrances of the palace, symbolizing solemnity and dignity. ""Vu"" means to enter or move forward.

- **Ngoại**: Means outside, outside the palace, outside the scope of the imperial court.

**Overall Meaning**:  
This phrase can be understood as: **The appointment of talented individuals into important positions within the administrative system, entering the palace, and being outside the scope of the imperial court.** It is a symbolic expression that conveys the honor, appointment, and solemnity of the court's rituals and ceremonies.

If you need a more detailed explanation based on a specific text, I can help with that too!"
